"","ID","Gene.symbol"
"8015230",8015230,"KRTAP4-7///KRTAP4-9///KRTAP4-8///KRTAP4-11///KRTAP4-2///KRTAP4-5///KRTAP4-4///KRTAP4-12///KRTAP4-6///KRTAP4-7"
"8001552",8001552,"CIAPIN1"
"7919940",7919940,"VPS72"
"7907135",7907135,"SFT2D2"
"8012376",8012376,"VAMP2"
"7939952",7939952,""
"8085358",8085358,""
"7920057",7920057,"TDRKH"
"8169350",8169350,""
"8001693",8001693,"CNOT1"
"7917739",7917739,""
"8018324",8018324,"GGA3"
"8012958",8012958,"UBE2S"
"8009524",8009524,""
"7933978",7933978,"ATOH7"
"8091554",8091554,""
"8015410",8015410,""
"8124527",8124527,"HIST1H1B"
"8081818",8081818,""
"8129953",8129953,"HIVEP2"
"8003298",8003298,"SLC7A5"
"7952599",7952599,""
"8077528",8077528,"SETD5"
"7929692",7929692,"ZFYVE27"
"7903803",7903803,"AHCYL1"
"7966257",7966257,""
"7963046",7963046,"TUBA1B"
"8077595",8077595,"BRPF1"
"7997626",7997626,"KLHL36"
"8010188",8010188,"TNRC6C"
"8137112",8137112,"ZNF212"
"8123891",8123891,""
"8148737",8148737,"MAF1"
"7900192",7900192,"C1orf122"
"8143154",8143154,"DGKI"
"7940409",7940409,"CD5"
"8051520",8051520,"SULT6B1"
"8138745",8138745,"HOXA7"
"7964413",7964413,"R3HDM2"
"7981242",7981242,"BCL11B"
"8150274",8150274,""
"8100521",8100521,""
"8107996",8107996,""
"8123651",8123651,"TUBB2B"
"8039409",8039409,"TMEM86B"
"8016194",8016194,"MAP3K14"
"8156476",8156476,"PHF2"
"8059838",8059838,"HJURP"
"8015460",8015460,"ACLY"
"8012218",8012218,""
"8145570",8145570,"ESCO2"
"7903827",7903827,"STRIP1"
"7918955",7918955,"GDAP2"
"7984217",7984217,"PLEKHO2"
"7943956",7943956,""
"8002266",8002266,"CHTF8"
"8098924",8098924,"LETM1"
"7901592",7901592,"TCEANC2"
"7970842",7970842,""
"7952737",7952737,""
"8077768",8077768,""
"8006319",8006319,""
"8004694",8004694,"CYB5D1"
"8063509",8063509,"RTFDC1"
"8135033",8135033,"MUC12"
"7914354",7914354,"PEF1"
"7977432",7977432,"TMEM121"
"8170998",8170998,"F8A3///F8A2///F8A1"
"8116740",8116740,"RREB1"
"7917468",7917468,""
"8027377",8027377,""
"8175209",8175209,"TFDP3"
"8068238",8068238,"IFNAR2"
"8015031",8015031,"CCR7"
"7965110",7965110,""
"7915504",7915504,"ELOVL1"
"8001185",8001185,"DNAJA2///DNAJA2"
"8065515",8065515,""
"7912209",7912209,""
"8075430",8075430,"MORC2"
"8136065",8136065,"LOC407835"
"8149289",8149289,"SOX7"
"8077472",8077472,"GRM7"
"8175360",8175360,"MMGT1"
"8029884",8029884,"SAE1"
"8053349",8053349,"LRRTM1"
"7955231",7955231,"KCNH3"
"8056361",8056361,""
"8100426",8100426,""
"8164843",8164843,"OBP2B"
"7903334",7903334,"CDC14A"
"7965038",7965038,""
"8141748",8141748,""
"7997321",7997321,"MON1B"
"7977077",7977077,"MARK3"
"8122457",8122457,"STX11"
"7916343",7916343,"YIPF1"
"8137202",8137202,"ZNF862"
"7978260",7978260,"DHRS1"
"7903092",7903092,"FNBP1L"
