"","Gene.symbol","logFC","P.Value"
"8034304","ACP5",-0.823633309090905,9.54399587263386e-05
"8172698","SHROOM4",-0.449326309090908,9.55495075298729e-05
"7961693","LDHB",1.18791443636364,9.55746623291875e-05
"7909225","DYRK3",-0.751941381818183,9.59188291097364e-05
"7915130","SF3A3",0.694414672727275,9.63091691985414e-05
"7953130","RHNO1",0.558942690909092,9.73889809751163e-05
"7923086","ASPM",-0.969961200000001,9.740934823361e-05
"8156167","NAA35",0.720807490909096,9.80392424188234e-05
"8180410","EIF3F",0.743419963636365,9.81759396039863e-05
"8002289","TERF2",0.341531672727275,9.82755068071052e-05
"8134992","SRRT",0.411946181818182,9.93241313616071e-05
"8013923","GIT1",0.437771345454546,0.000100633609624901
"7959070","PEBP1",0.682440545454542,0.000100650740686197
"7904907","BCL9",0.582590563636365,0.000101493424325455
"7973303","OR6C4",1.66157309090909,0.00010182779889091
"7959052","RFC5",0.34754161818182,0.000102209855975998
"8008716","MSX2P1",0.444055763636365,0.000102339114338716
"7904314","TTF2",0.581726454545454,0.000102717190182495
"8065668","CDK5RAP1",0.437090418181818,0.00010394750080132
"8080896","SLC25A26",0.672904345454546,0.000104438624832331
"7924558","NVL",0.629572563636365,0.000104663674708022
"7923965","",-0.442583454545454,0.000104827402018566
"7983274","PDIA3P1///PDIA3",0.691250709090914,0.000105301869197696
"8092321","DCUN1D1",-0.827645072727272,0.000105785635172179
"7999023","",-0.423703909090906,0.000107084002360691
"7898574","MINOS1",0.328404145454546,0.000107635973797581
"8001764","GOT2",0.511124363636364,0.000111237912837045
"7962312","ABCD2",1.25574785454546,0.000111978324885007
"8100532","NOA1",0.498716945454548,0.00011209820518866
"8117476","BTN3A3",0.654442054545456,0.000112815221539921
"8029280","CD177",-2.07412825454545,0.000113126556379372
"8034217","EPOR",-0.413958272727273,0.000113664860032167
"8088830","SHQ1",0.663515545454546,0.000113801141010897
"8106479","SCAMP1",0.503144072727274,0.000113956056152546
"8158317","SPTAN1",0.54662010909091,0.000114775892767508
"7983173","CCNDBP1",-0.441427636363633,0.000115028960561479
"8131427","C7orf26",0.427598436363638,0.000115288776565968
"7909967","CAPN2",0.623522272727271,0.000115489646775584
"7953135","TULP3",0.658533672727273,0.000117286757310812
"8147244","NECAB1",-0.327929218181819,0.000117392136094195
"8110090","SFXN1",0.739069200000002,0.000117927750526849
"8058614","LANCL1",0.744270927272728,0.000117994660941748
"7951896","PCSK7",0.521028781818181,0.000118498090265862
"7911566","",0.358993109090911,0.000119101645291862
"8039945","",0.358993109090911,0.000119101645291862
"8174322","MORC4",0.428403236363637,0.000119575135915445
"8168018","YIPF6",-0.674410345454543,0.000119598345009698
"7941927","AIP",0.370281581818183,0.000120002571725616
"7898663","PINK1",-0.721319145454546,0.000120189404407954
"7965964","SLC41A2",0.4083696,0.000120386189668686
"8070102","GART",0.494503163636366,0.000120462799651576
"8002347","AARS",0.456673363636363,0.000120806802277965
"7994620","KIF22",0.447429600000002,0.000121141980144056
"8009796","TMEM94",0.356806381818183,0.000121470396339615
"7928800","CCSER2",0.534912127272728,0.000122551194040686
"7976160","TDP1",0.643840490909094,0.00012255683348251
"8097829","FHDC1",-0.643513527272725,0.000123031529660627
"7975167","GPHN",0.436222381818181,0.000123141276399269
