Gene.symbol,logFC,P.Value
HLA-H///HLA-G///HLA-C///HLA-A///HLA-A,0.327732429,3.79086116239116e-06
PDE4B,0.374360214,3.8398312703887e-06
PLEK,1.130950921,3.96310293163724e-06
IL15RA,0.438437971,4.02816051576704e-06
STK17B,0.685709414,4.08175274097718e-06
CD40LG,0.641871429,4.10131343165308e-06
APOBEC3A_B///APOBEC3A,0.889558657,4.15895906361997e-06
IL2RB,0.973097179,4.16619199008075e-06
UCP2,0.775501443,4.16988524592381e-06
ARHGAP4,0.3971413,4.21803580363961e-06
AIF1,0.701380464,4.30169023789634e-06
AIF1,0.701380464,4.30169023789634e-06
AIF1,0.701380464,4.30169023789634e-06
SERPINB9,0.792210371,4.30749057213798e-06
CYTIP,0.907993986,4.34245128605055e-06
DTHD1,0.523187807,4.42208869560007e-06
FMNL3,0.506443407,4.44870194116983e-06
TNF,0.489490629,4.57508829209646e-06
TNF,0.489490629,4.57508829209646e-06
TNF,0.489490629,4.57508829209646e-06
NRROS,0.320080736,4.5846118640388e-06
SP140,0.666078114,4.60969504525665e-06
DHRS9,0.536823614,4.72396967259248e-06
BIN2,0.952468836,4.81565910302345e-06
TIMM23,-0.332509521,4.84807927908087e-06
BST2,0.580508486,5.08108200401722e-06
MIR155///MIR155HG,0.680979564,5.22599589560816e-06
LSP1,0.478396743,5.32248048774089e-06
SP110,0.497350671,5.44081647423127e-06
CD3D,0.903586743,5.45157665599449e-06
CLEC2B,0.668169836,5.52420235157952e-06
WIPF1,0.5104945,5.54093035807598e-06
DPEP2,0.289726293,5.79746230069612e-06
GAPT,0.849542843,5.80871900638181e-06
HIST1H3I,0.820395871,5.83310278112149e-06
RNASE6,0.762207779,5.9881667136427e-06
PELI1,0.341895143,6.01660635592972e-06
LILRA3,0.807202257,6.05234885544113e-06
PMAIP1,0.615792393,6.10657508439371e-06
SLC15A3,0.492512814,6.32928987067165e-06
F8,-0.421994464,6.37302899751234e-06
TAP2,0.546946807,6.451121153236e-06
RASSF5,0.732667129,6.58960003747251e-06
C1QA,0.848817871,6.60653863605427e-06
APOL6,0.515166,6.71228127259834e-06
WDFY4,0.491017821,6.80689778328314e-06
SRGAP2D///SRGAP2C///SRGAP2B///SRGAP2,0.337719957,7.03510506118187e-06
BTN2A2,0.347142729,7.17518167944316e-06
SRGAP2C///SRGAP2B///SRGAP2,0.352286786,7.28149109469967e-06
ALOX5,0.795159386,7.33980258418202e-06
